"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","25%",NA,"30",0.139062444561668,0.167723336275575,999,2281,409134,112963
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","25%",NA,"50",0.139062444561668,0.167723336275575,999,2281,409134,112963
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","50%",NA,"30",0.137806901770427,0.164670512617538,996,2281,409134,113386
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","50%",NA,"50",0.137806901770427,0.164670512617538,996,2281,409134,113386
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy",NA,"10%",NA,0.132262109029429,0.157523302952168,960,2281,409134,122059
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy",NA,"5%",NA,0.134846574793461,0.160759354256799,977,2281,409134,117489
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy+sample",NA,"10%","30",0.132262109029429,0.157523302952168,960,2281,409134,122059
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy+sample",NA,"10%","50",0.132262109029429,0.157523302952168,960,2281,409134,122059
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy+sample",NA,"5%","30",0.134846574793461,0.160759354256799,977,2281,409134,117489
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy+sample",NA,"5%","50",0.134846574793461,0.160759354256799,977,2281,409134,117489
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"none",NA,NA,NA,0.139385234620754,0.167949848695514,1000,2281,409134,112954
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent+z",NA,NA,"10%","10%","2.5","accuracy","25%",NA,NA,0.132630960756916,0.170139393682798,999,2281,409134,150516
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent+z",NA,NA,"10%","10%","2.5","accuracy","50%",NA,NA,0.131917103498337,0.168840556310728,996,2281,409134,150838
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent+z",NA,NA,"10%","10%","2.5","accuracy+sample","25%",NA,"30",0.132630960756916,0.170139393682798,999,2281,409134,150516
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent+z",NA,NA,"10%","10%","2.5","accuracy+sample","25%",NA,"50",0.132630960756916,0.170139393682798,999,2281,409134,150516
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent+z",NA,NA,"10%","10%","2.5","accuracy+sample","50%",NA,"30",0.131917103498337,0.168840556310728,996,2281,409134,150838
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent+z",NA,NA,"10%","10%","2.5","accuracy+sample","50%",NA,"50",0.131917103498337,0.168840556310728,996,2281,409134,150838
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent+z",NA,NA,"10%","10%","2.5","lower_bound_accuracy",NA,"10%",NA,0.126564463922543,0.164502660921692,960,2281,409134,158380
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent+z",NA,NA,"10%","10%","2.5","lower_bound_accuracy",NA,"5%",NA,0.129256277134067,0.166801067046452,977,2281,409134,154333
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent+z",NA,NA,"10%","10%","2.5","lower_bound_accuracy+sample",NA,"10%","30",0.126564463922543,0.164502660921692,960,2281,409134,158380
