"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy",NA,"5%",NA,0.111174350403812,0.118271985682578,977,2539,409134,63078
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","30",0.109509716679692,0.11638272387189,960,2539,409134,68224
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","50",0.109509716679692,0.11638272387189,960,2539,409134,68224
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","30",0.111174350403812,0.118271985682578,977,2539,409134,63078
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","50",0.111174350403812,0.118271985682578,977,2539,409134,63078
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"2.5","none",NA,NA,NA,0.113533322254203,0.120553174405927,1000,2539,409134,58005
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","accuracy","25%",NA,NA,0.117142064300045,0.125629404632195,999,2539,409134,56330
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","accuracy","50%",NA,NA,0.116473689881008,0.123968035645976,996,2539,409134,56817
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","accuracy+sample","25%",NA,"30",0.117142064300045,0.125629404632195,999,2539,409134,56330
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","accuracy+sample","25%",NA,"50",0.117142064300045,0.125629404632195,999,2539,409134,56330
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","accuracy+sample","50%",NA,"30",0.116473689881008,0.123968035645976,996,2539,409134,56817
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","accuracy+sample","50%",NA,"50",0.116473689881008,0.123968035645976,996,2539,409134,56817
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","lower_bound_accuracy",NA,"10%",NA,0.11307638010304,0.120883878557569,960,2539,409134,66699
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","lower_bound_accuracy",NA,"5%",NA,0.114697611665701,0.123073520647693,977,2539,409134,61487
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","30",0.11307638010304,0.120883878557569,960,2539,409134,66699
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","50",0.11307638010304,0.120883878557569,960,2539,409134,66699
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","30",0.114697611665701,0.123073520647693,977,2539,409134,61487
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","50",0.114697611665701,0.123073520647693,977,2539,409134,61487
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","2500",NA,NA,"3.0","none",NA,NA,NA,0.117289050857939,0.125652512153906,1000,2539,409134,56311
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","200","3000",NA,NA,"2.5","accuracy","25%",NA,NA,0.110025536262418,0.11643754898092,999,2539,409134,57329
