"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy+sample",NA,"5%","50",0.121829635854986,0.157591236382293,977,2504,409134,121816
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"10%","5%",NA,"none",NA,NA,NA,0.125264034987413,0.165552966353782,1000,2504,409134,116978
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"accuracy","25%",NA,NA,0.152819540011572,0.176383636837415,999,2504,409134,95861
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"accuracy","50%",NA,NA,0.15209683813643,0.174412793278229,996,2504,409134,96253
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","25%",NA,"30",0.152819540011572,0.176383636837415,999,2504,409134,95861
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","25%",NA,"50",0.152819540011572,0.176383636837415,999,2504,409134,95861
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","50%",NA,"30",0.15209683813643,0.174412793278229,996,2504,409134,96253
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","50%",NA,"50",0.15209683813643,0.174412793278229,996,2504,409134,96253
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy",NA,"10%",NA,0.147602289901487,0.17087758597668,960,2504,409134,105027
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy",NA,"5%",NA,0.149988518886931,0.173359773985442,977,2504,409134,100341
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy+sample",NA,"10%","30",0.147602289901487,0.17087758597668,960,2504,409134,105027
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy+sample",NA,"10%","50",0.147602289901487,0.17087758597668,960,2504,409134,105027
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy+sample",NA,"5%","30",0.149988518886931,0.173359773985442,977,2504,409134,100341
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy+sample",NA,"5%","50",0.149988518886931,0.173359773985442,977,2504,409134,100341
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","10%",NA,"none",NA,NA,NA,0.153116621388248,0.176545468247381,1000,2504,409134,95851
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","5%",NA,"accuracy","25%",NA,NA,0.138190828897651,0.163633766435618,999,2504,409134,87099
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","5%",NA,"accuracy","50%",NA,NA,0.137106730654868,0.160936993236608,996,2504,409134,87559
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","25%",NA,"30",0.138190828897651,0.163633766435618,999,2504,409134,87099
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","25%",NA,"50",0.138190828897651,0.163633766435618,999,2504,409134,87099
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","50%",NA,"30",0.137106730654868,0.160936993236608,996,2504,409134,87559
