"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","160","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","30",0.109002662961327,0.117487392366478,960,2406,409134,84646
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","160","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","50",0.109002662961327,0.117487392366478,960,2406,409134,84646
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","160","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","30",0.110641849898832,0.119848425755999,977,2406,409134,79699
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","160","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","50",0.110641849898832,0.119848425755999,977,2406,409134,79699
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","160","3000",NA,NA,"3.0","none",NA,NA,NA,0.113131204698959,0.122368815749241,1000,2406,409134,74770
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","accuracy","25%",NA,NA,0.112942981549192,0.121694695711678,999,2406,409134,77104
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","accuracy","50%",NA,NA,0.112338044290123,0.120233190114374,996,2406,409134,77550
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","25%",NA,"30",0.112942981549192,0.121694695711678,999,2406,409134,77104
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","25%",NA,"50",0.112942981549192,0.121694695711678,999,2406,409134,77104
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","50%",NA,"30",0.112338044290123,0.120233190114374,996,2406,409134,77550
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","50%",NA,"50",0.112338044290123,0.120233190114374,996,2406,409134,77550
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy",NA,"10%",NA,0.108799410624993,0.117060185386128,960,2406,409134,86752
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy",NA,"5%",NA,0.110500352646205,0.119112763822122,977,2406,409134,81883
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","30",0.108799410624993,0.117060185386128,960,2406,409134,86752
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","50",0.108799410624993,0.117060185386128,960,2406,409134,86752
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","30",0.110500352646205,0.119112763822122,977,2406,409134,81883
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","50",0.110500352646205,0.119112763822122,977,2406,409134,81883
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","none",NA,NA,NA,0.113044476749369,0.121676110295444,1000,2406,409134,77084
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"3.0","accuracy","25%",NA,NA,0.116865069796061,0.126926500513134,999,2406,409134,75488
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"3.0","accuracy","50%",NA,NA,0.116233229613718,0.125508963742032,996,2406,409134,75952
