"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy","25%",NA,NA,0.135706309399684,0.172137366414807,999,2537,409134,123571
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy","50%",NA,NA,0.135120934945878,0.170907824968664,996,2537,409134,123949
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy+sample","25%",NA,"30",0.135706309399684,0.172137366414807,999,2537,409134,123571
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy+sample","25%",NA,"50",0.135706309399684,0.172137366414807,999,2537,409134,123571
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy+sample","50%",NA,"30",0.135120934945878,0.170907824968664,996,2537,409134,123949
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy+sample","50%",NA,"50",0.135120934945878,0.170907824968664,996,2537,409134,123949
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy",NA,"10%",NA,0.13026333622869,0.167546667944526,960,2537,409134,132457
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy",NA,"5%",NA,0.132784894508028,0.170123064765716,977,2537,409134,127933
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy+sample",NA,"10%","30",0.13026333622869,0.167546667944526,960,2537,409134,132457
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy+sample",NA,"10%","50",0.13026333622869,0.167546667944526,960,2537,409134,132457
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy+sample",NA,"5%","30",0.132784894508028,0.170123064765716,977,2537,409134,127933
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy+sample",NA,"5%","50",0.132784894508028,0.170123064765716,977,2537,409134,127933
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","none",NA,NA,NA,0.134731344329326,0.174791787194918,1000,2537,409134,123565
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy","25%",NA,NA,0.114722095688604,0.142835880237599,999,2537,409134,118092
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy","50%",NA,NA,0.11366603370865,0.140874137136672,996,2537,409134,118502
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy+sample","25%",NA,"30",0.114722095688604,0.142835880237599,999,2537,409134,118092
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy+sample","25%",NA,"50",0.114722095688604,0.142835880237599,999,2537,409134,118092
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy+sample","50%",NA,"30",0.11366603370865,0.140874137136672,996,2537,409134,118502
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy+sample","50%",NA,"50",0.11366603370865,0.140874137136672,996,2537,409134,118502
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","5%","2.5","lower_bound_accuracy",NA,"10%",NA,0.109390433910451,0.136622513030643,960,2537,409134,127407
