"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","3000",NA,NA,"3.0","accuracy+sample","50%",NA,"30",0.112763286261088,0.122320102502638,996,2283,409134,90082
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","3000",NA,NA,"3.0","accuracy+sample","50%",NA,"50",0.112763286261088,0.122320102502638,996,2283,409134,90082
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy",NA,"10%",NA,0.109306860005895,0.118775132642143,960,2283,409134,99086
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy",NA,"5%",NA,0.110983028025185,0.121157349003142,977,2283,409134,94347
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","30",0.109306860005895,0.118775132642143,960,2283,409134,99086
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","50",0.109306860005895,0.118775132642143,960,2283,409134,99086
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","30",0.110983028025185,0.121157349003142,977,2283,409134,94347
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","50",0.110983028025185,0.121157349003142,977,2283,409134,94347
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","3000",NA,NA,"3.0","none",NA,NA,NA,0.113494578066028,0.124336651248967,1000,2283,409134,89620
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"accuracy","25%",NA,NA,0.123995044589308,0.148454788685949,999,2283,409134,86200
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"accuracy","50%",NA,NA,0.122753266593427,0.142048985398878,996,2283,409134,86688
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"accuracy+sample","25%",NA,"30",0.123995044589308,0.148454788685949,999,2283,409134,86200
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"accuracy+sample","25%",NA,"50",0.123995044589308,0.148454788685949,999,2283,409134,86200
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,"30",0.122753266593427,0.142048985398878,996,2283,409134,86688
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,"50",0.122753266593427,0.142048985398878,996,2283,409134,86688
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.119383849149988,0.136854932589899,960,2283,409134,95962
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA,0.121077048861461,0.140831041522178,977,2283,409134,91117
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30",0.119383849149988,0.136854932589899,960,2283,409134,95962
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50",0.119383849149988,0.136854932589899,960,2283,409134,95962
"accuracy+rtvar","85%",NA,NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30",0.121077048861461,0.140831041522178,977,2283,409134,91117
