"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy","85%",NA,NA,NA,"bounds_rt+z","160","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","50",0.111269242991993,0.118743537590914,960,2550,409134,62328
"accuracy","85%",NA,NA,NA,"bounds_rt+z","160","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","30",0.113083213023226,0.121198534332929,977,2550,409134,57040
"accuracy","85%",NA,NA,NA,"bounds_rt+z","160","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","50",0.113083213023226,0.121198534332929,977,2550,409134,57040
"accuracy","85%",NA,NA,NA,"bounds_rt+z","160","3000",NA,NA,"3.0","none",NA,NA,NA,0.115891028805028,0.125007700906444,1000,2550,409134,51769
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","accuracy","25%",NA,NA,0.11477347214318,0.123379838916851,999,2550,409134,54146
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","accuracy","50%",NA,NA,0.114011945316001,0.120930517363922,996,2550,409134,54608
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","25%",NA,"30",0.11477347214318,0.123379838916851,999,2550,409134,54146
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","25%",NA,"50",0.11477347214318,0.123379838916851,999,2550,409134,54146
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","50%",NA,"30",0.114011945316001,0.120930517363922,996,2550,409134,54608
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","50%",NA,"50",0.114011945316001,0.120930517363922,996,2550,409134,54608
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy",NA,"10%",NA,0.110617630280577,0.11816270080814,960,2550,409134,64466
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy",NA,"5%",NA,0.11250172958165,0.120266948747653,977,2550,409134,59261
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","30",0.110617630280577,0.11816270080814,960,2550,409134,64466
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","50",0.110617630280577,0.11816270080814,960,2550,409134,64466
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","30",0.11250172958165,0.120266948747653,977,2550,409134,59261
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","50",0.11250172958165,0.120266948747653,977,2550,409134,59261
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","none",NA,NA,NA,0.11518134510714,0.123990754427111,1000,2550,409134,54126
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"3.0","accuracy","25%",NA,NA,0.118824119207661,0.128697453222738,999,2550,409134,52437
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"3.0","accuracy","50%",NA,NA,0.118004295189862,0.126152874210542,996,2550,409134,52921
"accuracy","85%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"3.0","accuracy+sample","25%",NA,"30",0.118824119207661,0.128697453222738,999,2550,409134,52437
