"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy","25%",NA,NA,0.14922262129385,0.169787958329257,999,2664,409134,77929
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy","50%",NA,NA,0.148629382290547,0.168567822361966,996,2664,409134,78333
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy+sample","25%",NA,"30",0.14922262129385,0.169787958329257,999,2664,409134,77929
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy+sample","25%",NA,"50",0.14922262129385,0.169787958329257,999,2664,409134,77929
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy+sample","50%",NA,"30",0.148629382290547,0.168567822361966,996,2664,409134,78333
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy+sample","50%",NA,"50",0.148629382290547,0.168567822361966,996,2664,409134,78333
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy",NA,"10%",NA,0.143957671180065,0.165289176499957,960,2664,409134,87569
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy",NA,"5%",NA,0.146610385426626,0.168079739669889,977,2664,409134,82637
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy+sample",NA,"10%","30",0.143957671180065,0.165289176499957,960,2664,409134,87569
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy+sample",NA,"10%","50",0.143957671180065,0.165289176499957,960,2664,409134,87569
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy+sample",NA,"5%","30",0.146610385426626,0.168079739669889,977,2664,409134,82637
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy+sample",NA,"5%","50",0.146610385426626,0.168079739669889,977,2664,409134,82637
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","none",NA,NA,NA,0.149589218986164,0.170098465172458,1000,2664,409134,77917
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy","25%",NA,NA,0.126053359601693,0.14201061428834,999,2664,409134,72632
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy","50%",NA,NA,0.125168399853299,0.14044400384124,996,2664,409134,73067
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy+sample","25%",NA,"30",0.126053359601693,0.14201061428834,999,2664,409134,72632
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy+sample","25%",NA,"50",0.126053359601693,0.14201061428834,999,2664,409134,72632
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy+sample","50%",NA,"30",0.125168399853299,0.14044400384124,996,2664,409134,73067
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy+sample","50%",NA,"50",0.125168399853299,0.14044400384124,996,2664,409134,73067
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","lower_bound_accuracy",NA,"10%",NA,0.120991293108308,0.136439149655018,960,2664,409134,82682
