"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"performance+numtrials",NA,"10%","100",NA,"bounds_percent+z",NA,NA,"10%","10%","2.5","lower_bound_accuracy",NA,"10%",NA,0.12397531529394,0.160070966902261,960,2514,409134,135399
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy+sample","25%",NA,"30",0.142995064200683,0.163025655472969,999,2631,409134,83833
"accuracy+rtvar","80%",NA,NA,"10%","bounds_rt","200","2500",NA,NA,NA,"accuracy+sample","25%",NA,"50",0.127252134545212,0.147294371554865,999,2368,409134,76829
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy","25%",NA,NA,0.126234305428983,0.143255554862084,999,2504,409134,91631
"accuracy+numtrials","85%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA,0.123767550134887,0.140073434094409,977,2541,409134,53649
"performance+numtrials",NA,"10%","100",NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30",0.127118336891152,0.143690270553686,977,2515,409134,57464
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","100","2500",NA,NA,"3.0","accuracy+sample","50%",NA,"30",0.11620892569398,0.126794658661501,996,2283,409134,90476
"performance",NA,"5%",NA,NA,"bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy",NA,"5%",NA,0.112448073221336,0.119169429012985,977,2676,409134,44189
"accuracy+numtrials","75%",NA,"50",NA,"bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy+sample",NA,"5%","50",0.13490048736526,0.156627760625222,977,2668,409134,72667
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","160","2500",NA,NA,"2.5","accuracy+sample","25%",NA,"30",0.11310897576444,0.123825259320463,999,2283,409134,91658
"performance",NA,"5%",NA,NA,"bounds_rt+z","160","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","30",0.112826736159552,0.120134403042049,977,2676,409134,41853
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","accuracy+sample","25%",NA,"30",0.110000853918145,0.11643656901688,999,2539,409134,57221
"accuracy+numtrials","85%",NA,"100",NA,"bounds_rt+z","200","3000",NA,NA,"2.5","lower_bound_accuracy",NA,"10%",NA,0.107731461912092,0.114262817986241,960,2538,409134,63926
"accuracy+numtrials","85%",NA,"50",NA,"bounds_rt+z","160","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","50",0.113114015632558,0.121222055630836,977,2541,409134,57075
"accuracy+rtvar","85%",NA,NA,"5%","bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy","25%",NA,NA,0.126759077167915,0.144468796078503,999,2417,409134,100370
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy+sample","25%",NA,"30",0.134751355604213,0.170596695869769,999,2664,409134,111374
"performance+numtrials",NA,"5%","100",NA,"bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","50%",NA,"30",0.137871029714952,0.159766200102209,996,2660,409134,68340
"performance+rtvar",NA,"10%",NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","50%",NA,"50",0.112467320110039,0.122113447432776,996,2260,409134,95082
"accuracy+rtvar","80%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy",NA,"10%",NA,0.108928790216916,0.117658157364781,960,2368,409134,91152
"accuracy+rtvar","75%",NA,NA,"5%","bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy","50%",NA,NA,0.135144319774798,0.1707752479621,996,2542,409134,123603
