"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy","75%",NA,NA,NA,"bounds_rt+z","100","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","30",0.110610735355904,0.11718836818641,960,2681,409134,48947
"performance+numtrials",NA,"5%","100",NA,"bounds_rt+z","160","3000",NA,NA,"3.0","accuracy","25%",NA,NA,0.115208691726067,0.12271665727732,999,2661,409134,36488
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt","160","2500",NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA,0.124339327330357,0.142670205160032,977,2406,409134,77215
"none",NA,NA,NA,NA,"bounds_rt+z","100","3000",NA,NA,"3.0","accuracy+sample","50%",NA,"30",0.11319976137371,0.11915421528274,996,2831,409134,23390
"performance",NA,"5%",NA,NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50",0.126832677337202,0.141839265706675,977,2676,409134,39200
"accuracy+numtrials","80%",NA,"100",NA,"bounds_rt+z","200","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","50",0.112558231718396,0.119588515626982,977,2628,409134,48305
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy+sample",NA,"5%","50",0.132663497385059,0.171103881211335,977,2525,409134,128784
"accuracy+numtrials","85%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.12480183990828,0.139257860793176,960,2538,409134,59777
"none",NA,NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"accuracy+sample","25%",NA,"50",0.124598641810806,0.141520876258686,999,2831,409134,19565
"performance+numtrials",NA,"5%","100",NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy","50%",NA,NA,0.153052790510327,0.173759998699405,996,2660,409134,77203
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent",NA,NA,"10%","5%",NA,"accuracy","50%",NA,NA,0.124811091623704,0.161053463268739,996,2504,409134,117437
"accuracy+numtrials","75%",NA,"50",NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.124852948065266,0.138033808971204,960,2669,409134,44419
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","160","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","50",0.110502610093809,0.119104730401507,977,2406,409134,81776
"performance+numtrials",NA,"5%","100",NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","lower_bound_accuracy+sample",NA,"10%","30",0.108418488674902,0.135107186028758,960,2660,409134,115736
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","3000",NA,NA,"2.5","none",NA,NA,NA,0.109815197122901,0.119440317848438,1000,2283,409134,91074
"accuracy+numtrials","80%",NA,"50",NA,"bounds_rt","160","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30",0.123992939015078,0.139156369395,977,2632,409134,42690
"accuracy+numtrials","85%",NA,"50",NA,"bounds_rt+z","100","3000",NA,NA,"2.5","accuracy","25%",NA,NA,0.111671636626171,0.119324065149341,999,2541,409134,53361
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy","25%",NA,NA,0.126148986485992,0.162721755582426,999,2631,409134,104629
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"accuracy+sample","50%",NA,"50",0.137806901770427,0.164670512617538,996,2281,409134,113386
"performance+rtvar",NA,"5%",NA,"5%","bounds_rt","160","3000",NA,NA,NA,"accuracy+sample","25%",NA,"50",0.124557235988226,0.1433598629929,999,2539,409134,52240
