"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","25%",NA,"30",0.138953355653318,0.176287244920887,999,2631,409134,113419
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","25%",NA,"50",0.138953355653318,0.176287244920887,999,2631,409134,113419
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","50%",NA,"30",0.138135281359449,0.174204453329858,996,2631,409134,113825
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","50%",NA,"50",0.138135281359449,0.174204453329858,996,2631,409134,113825
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy",NA,"10%",NA,0.132632068766941,0.170033135799063,960,2631,409134,122795
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy",NA,"5%",NA,0.135265460494352,0.1724817015509,977,2631,409134,118056
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"10%","30",0.132632068766941,0.170033135799063,960,2631,409134,122795
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"10%","50",0.132632068766941,0.170033135799063,960,2631,409134,122795
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"5%","30",0.135265460494352,0.1724817015509,977,2631,409134,118056
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"5%","50",0.135265460494352,0.1724817015509,977,2631,409134,118056
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","10%",NA,"none",NA,NA,NA,0.138103305654081,0.178237676774515,1000,2631,409134,113412
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy","25%",NA,NA,0.126148986485992,0.162721755582426,999,2631,409134,104629
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy","50%",NA,NA,0.125022816031449,0.1599548177479,996,2631,409134,105103
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","25%",NA,"30",0.126148986485992,0.162721755582426,999,2631,409134,104629
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","25%",NA,"50",0.126148986485992,0.162721755582426,999,2631,409134,104629
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","50%",NA,"30",0.125022816031449,0.1599548177479,996,2631,409134,105103
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","50%",NA,"50",0.125022816031449,0.1599548177479,996,2631,409134,105103
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy",NA,"10%",NA,0.119169736327617,0.153070933162893,960,2631,409134,114740
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy",NA,"5%",NA,0.121783093108758,0.156357852006976,977,2631,409134,109711
"accuracy+numtrials","80%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy+sample",NA,"10%","30",0.119169736327617,0.153070933162893,960,2631,409134,114740
