"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"5%","50",0.135721561775028,0.172141510637504,977,2664,409134,114612
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","10%",NA,"none",NA,NA,NA,0.139322585647431,0.17579840723968,1000,2664,409134,109921
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy","25%",NA,NA,0.126291317741218,0.162099306746274,999,2664,409134,100984
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy","50%",NA,NA,0.125159093090417,0.159531883214977,996,2664,409134,101463
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","25%",NA,"30",0.126291317741218,0.162099306746274,999,2664,409134,100984
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","25%",NA,"50",0.126291317741218,0.162099306746274,999,2664,409134,100984
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","50%",NA,"30",0.125159093090417,0.159531883214977,996,2664,409134,101463
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","50%",NA,"50",0.125159093090417,0.159531883214977,996,2664,409134,101463
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy",NA,"10%",NA,0.119258298723731,0.152548125257554,960,2664,409134,111198
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy",NA,"5%",NA,0.121901327673724,0.155838184586777,977,2664,409134,106113
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy+sample",NA,"10%","30",0.119258298723731,0.152548125257554,960,2664,409134,111198
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy+sample",NA,"10%","50",0.119258298723731,0.152548125257554,960,2664,409134,111198
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy+sample",NA,"5%","30",0.121901327673724,0.155838184586777,977,2664,409134,106113
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy+sample",NA,"5%","50",0.121901327673724,0.155838184586777,977,2664,409134,106113
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"10%","5%",NA,"none",NA,NA,NA,0.126284731210949,0.162018289530128,1000,2664,409134,100976
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy","25%",NA,NA,0.153878216563673,0.175424679555322,999,2664,409134,76408
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy","50%",NA,NA,0.153122416419261,0.173730526798829,996,2664,409134,76828
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","25%",NA,"30",0.153878216563673,0.175424679555322,999,2664,409134,76408
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","25%",NA,"50",0.153878216563673,0.175424679555322,999,2664,409134,76408
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","50%",NA,"30",0.153122416419261,0.173730526798829,996,2664,409134,76828
