"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","2500",NA,NA,"3.0","none",NA,NA,NA,0.117552738994018,0.128691965116352,1000,2396,409134,73714
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","accuracy","25%",NA,NA,0.110298509238032,0.119199858903338,999,2396,409134,74696
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","accuracy","50%",NA,NA,0.109651913852226,0.116620492419975,996,2396,409134,75143
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","accuracy+sample","25%",NA,"30",0.110298509238032,0.119199858903338,999,2396,409134,74696
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","accuracy+sample","25%",NA,"50",0.110298509238032,0.119199858903338,999,2396,409134,74696
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","accuracy+sample","50%",NA,"30",0.109651913852226,0.116620492419975,996,2396,409134,75143
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","accuracy+sample","50%",NA,"50",0.109651913852226,0.116620492419975,996,2396,409134,75143
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","lower_bound_accuracy",NA,"10%",NA,0.106476416934238,0.113861858486114,960,2396,409134,84479
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","lower_bound_accuracy",NA,"5%",NA,0.10815648244089,0.115972393665852,977,2396,409134,79550
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","30",0.106476416934238,0.113861858486114,960,2396,409134,84479
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","50",0.106476416934238,0.113861858486114,960,2396,409134,84479
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","30",0.10815648244089,0.115972393665852,977,2396,409134,79550
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","50",0.10815648244089,0.115972393665852,977,2396,409134,79550
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"2.5","none",NA,NA,NA,0.110436775247385,0.119220388452338,1000,2396,409134,74682
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"3.0","accuracy","25%",NA,NA,0.113908821433409,0.12421497602662,999,2396,409134,73175
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"3.0","accuracy","50%",NA,NA,0.113248175876863,0.121585734833314,996,2396,409134,73639
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"3.0","accuracy+sample","25%",NA,"30",0.113908821433409,0.12421497602662,999,2396,409134,73175
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"3.0","accuracy+sample","25%",NA,"50",0.113908821433409,0.12421497602662,999,2396,409134,73175
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"3.0","accuracy+sample","50%",NA,"30",0.113248175876863,0.121585734833314,996,2396,409134,73639
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt+z","160","3000",NA,NA,"3.0","accuracy+sample","50%",NA,"50",0.113248175876863,0.121585734833314,996,2396,409134,73639
