"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+numtrials","75%",NA,"50",NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50",0.126690845148907,0.141929995502939,977,2669,409134,38570
"performance+rtvar",NA,"10%",NA,"10%","bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy",NA,"10%",NA,0.125948126459876,0.146478478413057,960,2258,409134,126304
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy+sample",NA,"5%","50",0.134846574793461,0.160759354256799,977,2281,409134,117489
"accuracy+numtrials","75%",NA,"50",NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy","25%",NA,NA,0.126249110246767,0.1621103240608,999,2668,409134,100947
"performance+numtrials",NA,"5%","100",NA,"bounds_rt","160","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30",0.126827810833628,0.141906464198687,977,2661,409134,39183
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","160","2500",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","30",0.1143544024781,0.125568309885596,977,2283,409134,94789
"accuracy","85%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","none",NA,NA,NA,0.126793666783683,0.144455480770229,1000,2548,409134,85393
"accuracy+rtvar","80%",NA,NA,"10%","bounds_rt+z","160","2500",NA,NA,"2.5","accuracy","25%",NA,NA,0.113007038147463,0.122502010710107,999,2368,409134,81528
"accuracy+numtrials","80%",NA,"100",NA,"bounds_rt+z","100","2500",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"5%","30",0.112537814590847,0.119548150564871,977,2628,409134,48113
"accuracy","80%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"3.0","none",NA,NA,NA,0.119098915391214,0.128078884692592,1000,2643,409134,41167
"accuracy+rtvar","80%",NA,NA,"5%","bounds_rt+z","100","2500",NA,NA,"2.5","accuracy","25%",NA,NA,0.11340731073172,0.121264284757006,999,2506,409134,61906
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"accuracy","25%",NA,NA,0.129459843224706,0.144890618761907,999,2681,409134,33095
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.123466710178307,0.139246644215473,960,2396,409134,80791
"accuracy+numtrials","80%",NA,"100",NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy","25%",NA,NA,0.113821000787867,0.141943255882453,999,2627,409134,109237
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","lower_bound_accuracy",NA,"10%",NA,0.108346967653663,0.134926117140441,960,2664,409134,115388
"performance+numtrials",NA,"10%","100",NA,"bounds_rt+z","100","2500",NA,NA,"2.5","accuracy+sample","50%",NA,"30",0.114118739031865,0.121410349888461,996,2515,409134,57437
"performance+numtrials",NA,"10%","50",NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50",0.125147225825195,0.139665210638679,960,2518,409134,62617
"none",NA,NA,NA,NA,"bounds_percent",NA,NA,"5%","5%",NA,"lower_bound_accuracy",NA,"10%",NA,0.130769678448646,0.151426044643984,960,2829,409134,67971
"accuracy+rtvar","75%",NA,NA,"10%","bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","25%",NA,"50",0.154633146828621,0.17858143375517,999,2404,409134,109100
"performance+numtrials",NA,"10%","100",NA,"bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy+sample",NA,"5%","30",0.151684856231803,0.17522624514693,977,2514,409134,96312
