"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+numtrials","80%",NA,"50",NA,"bounds_rt","200","3000",NA,NA,NA,"accuracy","25%",NA,NA,0.126498536849091,0.14432482125726,999,2632,409134,37163
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","2500",NA,NA,"3.0","lower_bound_accuracy",NA,"5%",NA,0.116140561599907,0.124171280664582,977,2681,409134,42079
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.12238164930057,0.138691393145736,960,2406,409134,82137
"accuracy+rtvar","85%",NA,NA,"10%","bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","25%",NA,"50",0.113126408231241,0.123839820035436,999,2283,409134,91742
"accuracy","80%",NA,NA,NA,"bounds_rt+z","160","3000",NA,NA,"3.0","accuracy+sample","50%",NA,"50",0.114517959414581,0.121193052552029,996,2643,409134,41013
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy+sample","25%",NA,"30",0.118349277958152,0.151113465392469,999,2525,409134,117106
"accuracy+numtrials","75%",NA,"50",NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy+sample","50%",NA,"50",0.134202118740018,0.169112744339795,996,2668,409134,111426
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy","25%",NA,NA,0.134695771078164,0.170284386099679,999,2679,409134,110988
"performance",NA,"10%",NA,NA,"bounds_rt+z","100","3000",NA,NA,"2.5","lower_bound_accuracy",NA,"10%",NA,0.10773527494443,0.114769523372918,960,2527,409134,66554
"performance",NA,"10%",NA,NA,"bounds_rt+z","200","3000",NA,NA,"2.5","accuracy+sample","50%",NA,"50",0.11100291064527,0.117565622594,996,2527,409134,56880
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy+sample",NA,"10%","50",0.11178431742839,0.140418527144752,960,2679,409134,113251
"performance+numtrials",NA,"10%","100",NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50",0.127118336891152,0.143690270553686,977,2515,409134,57464
"performance",NA,"5%",NA,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50",0.121642517620458,0.134611612942685,960,2676,409134,43768
"accuracy+rtvar","75%",NA,NA,"5%","bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy+sample","50%",NA,"30",0.1437908251387,0.16266572308559,996,2542,409134,95713
"accuracy+numtrials","80%",NA,"100",NA,"bounds_rt+z","100","3000",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","30",0.10772360658922,0.113835595400239,960,2628,409134,52835
"accuracy+numtrials","85%",NA,"100",NA,"bounds_rt+z","200","3000",NA,NA,"2.5","none",NA,NA,NA,0.112121858625747,0.11994958902708,1000,2538,409134,53540
"performance+numtrials",NA,"10%","100",NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy+sample","50%",NA,"50",0.149561743045245,0.171169816020741,996,2514,409134,93221
"performance+numtrials",NA,"5%","100",NA,"bounds_rt","160","2500",NA,NA,NA,"accuracy+sample","50%",NA,"30",0.128869047512742,0.14252078769102,996,2661,409134,34079
"performance+rtvar",NA,"5%",NA,"10%","bounds_percent+z",NA,NA,"10%","10%","2.5","lower_bound_accuracy+sample",NA,"5%","30",0.128282348292156,0.164721722308308,977,2399,409134,144035
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy","25%",NA,NA,0.113940033272063,0.141328242133892,999,2664,409134,105616
