"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt+z","100","3000",NA,NA,"2.5","lower_bound_accuracy+sample",NA,"10%","30",0.107568137120789,0.113437232334374,960,2665,409134,48394
"accuracy","75%",NA,NA,NA,"bounds_rt+z","160","3000",NA,NA,"3.0","none",NA,NA,NA,0.115495559805988,0.123163720167136,1000,2681,409134,35919
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy",NA,"10%",NA,0.12434685586695,0.141551910363449,960,2679,409134,80119
"none",NA,NA,NA,NA,"bounds_rt+z","100","2500",NA,NA,"2.5","accuracy+sample","25%",NA,"50",0.11325203306684,0.119804147479972,999,2831,409134,25387
"performance+rtvar",NA,"10%",NA,"5%","bounds_rt","160","3000",NA,NA,NA,"accuracy+sample","25%",NA,"50",0.124760422179164,0.147449318869314,999,2396,409134,69954
"accuracy","75%",NA,NA,NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","25%",NA,"50",0.153788336398032,0.175308593832716,999,2679,409134,76331
"accuracy+rtvar","80%",NA,NA,"5%","bounds_rt","100","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30",0.122088474248303,0.13849994343282,977,2506,409134,61652
"accuracy+rtvar","80%",NA,NA,"5%","none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,"50",0.123176896179717,0.138924505270158,996,2506,409134,56591
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt","100","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30",0.121155630291885,0.139285987068464,977,2406,409134,76546
"accuracy","75%",NA,NA,NA,"bounds_rt+z","160","2500",NA,NA,"2.5","accuracy","25%",NA,NA,0.114583393936372,0.121542576424065,999,2681,409134,38314
"performance+rtvar",NA,"5%",NA,"5%","bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy+sample","25%",NA,"30",0.11830369115503,0.148996195580623,999,2537,409134,115887
"performance+numtrials",NA,"5%","100",NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50",0.126848265790868,0.141874595699857,977,2661,409134,39292
"performance+numtrials",NA,"5%","100",NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","lower_bound_accuracy",NA,"10%",NA,0.12104306393704,0.136433040915698,960,2660,409134,82721
"accuracy+numtrials","75%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30",0.121615289989354,0.13456760331132,960,2669,409134,43343
"performance+rtvar",NA,"5%",NA,"10%","bounds_percent",NA,NA,"10%","10%",NA,"accuracy","50%",NA,NA,0.139840629140445,0.177993952286532,996,2399,409134,137423
"performance+rtvar",NA,"10%",NA,"10%","bounds_rt","100","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30",0.121411358741443,0.14138275628287,977,2260,409134,94228
"performance+numtrials",NA,"10%","50",NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy",NA,"5%",NA,0.132713473209657,0.171179339214172,977,2517,409134,128813
"none",NA,NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy","50%",NA,NA,0.147316939548878,0.165726197703277,996,2827,409134,68477
"accuracy","80%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.122162793846937,0.135228717696662,960,2643,409134,48120
"accuracy+rtvar","80%",NA,NA,"10%","bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","50%",NA,"30",0.125534655536599,0.163866303451822,996,2366,409134,131989
