"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"performance+numtrials",NA,"10%","100",NA,"bounds_rt+z","100","3000",NA,NA,"2.5","accuracy+sample","50%",NA,"30",0.111007310377413,0.117459676128645,996,2515,409134,56793
"performance+numtrials",NA,"10%","100",NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy+sample","50%",NA,"30",0.125728686430024,0.142517325489551,996,2514,409134,88301
"accuracy+rtvar","80%",NA,NA,"10%","bounds_percent+z",NA,NA,"5%","5%","3.0","accuracy+sample","50%",NA,"50",0.130161595037341,0.150481259992685,996,2366,409134,106850
"accuracy+rtvar","80%",NA,NA,"5%","bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy+sample","25%",NA,"30",0.149307120361159,0.171361739833404,999,2504,409134,96890
"accuracy+numtrials","85%",NA,"50",NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy+sample",NA,"5%","30",0.127095055396277,0.145965124016567,977,2540,409134,88083
"accuracy+numtrials","85%",NA,"50",NA,"bounds_rt+z","100","3000",NA,NA,"3.0","none",NA,NA,NA,0.115931605750487,0.124952569389262,1000,2541,409134,51730
"accuracy+rtvar","85%",NA,NA,"10%","bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy","50%",NA,NA,0.115130753368866,0.145420089596712,996,2281,409134,143622
"performance+numtrials",NA,"10%","100",NA,"bounds_rt+z","160","2500",NA,NA,"3.0","lower_bound_accuracy",NA,"10%",NA,0.114603857995801,0.123308221954542,960,2515,409134,65766
"accuracy+numtrials","75%",NA,"50",NA,"bounds_rt+z","100","2500",NA,NA,"3.0","lower_bound_accuracy",NA,"5%",NA,0.116034012464341,0.124192795961492,977,2669,409134,41894
"performance",NA,"5%",NA,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30",0.121642517620458,0.134611612942685,960,2676,409134,43768
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt+z","160","3000",NA,NA,"2.5","accuracy","50%",NA,NA,0.108894423890782,0.116062811880197,996,2406,409134,76759
"accuracy+rtvar","75%",NA,NA,"10%","bounds_rt","160","3000",NA,NA,NA,"accuracy+sample","50%",NA,"30",0.123095677935605,0.140637467390114,996,2406,409134,72061
"performance+numtrials",NA,"5%","50",NA,"bounds_percent+z",NA,NA,"10%","10%","2.5","accuracy+sample","25%",NA,"50",0.128811327560885,0.162652229966361,999,2664,409134,113726
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy","50%",NA,NA,0.134249179928656,0.169112481364022,996,2664,409134,111457
"accuracy","85%",NA,NA,NA,"bounds_rt+z","160","2500",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","30",0.116220872031842,0.125218961803255,977,2550,409134,57569
"accuracy+rtvar","75%",NA,NA,"5%","bounds_rt+z","160","2500",NA,NA,"3.0","accuracy+sample","50%",NA,"30",0.116458661345281,0.124170087670055,996,2544,409134,56257
"accuracy+numtrials","85%",NA,"100",NA,"bounds_rt","200","3000",NA,NA,NA,"accuracy+sample","50%",NA,"30",0.125531173150439,0.14102231780674,996,2538,409134,49096
"performance+rtvar",NA,"10%",NA,"10%","bounds_rt+z","160","3000",NA,NA,"2.5","none",NA,NA,NA,0.109852058928412,0.120498338529638,1000,2260,409134,93923
"performance+numtrials",NA,"10%","100",NA,"bounds_rt+z","200","2500",NA,NA,"2.5","accuracy","25%",NA,NA,0.114917452163414,0.124186387270083,999,2515,409134,57140
"accuracy+rtvar","75%",NA,NA,"5%","bounds_rt+z","200","2500",NA,NA,"2.5","accuracy+sample","50%",NA,"30",0.112726072567612,0.11910549993671,996,2544,409134,58045
