"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","3000",NA,NA,"3.0","accuracy+sample","25%",NA,"50",0.115142093686749,0.12268847276999,999,2681,409134,36055
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","3000",NA,NA,"3.0","accuracy+sample","50%",NA,"30",0.11451884042108,0.120946870911616,996,2681,409134,36568
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","3000",NA,NA,"3.0","accuracy+sample","50%",NA,"50",0.11451884042108,0.120946870911616,996,2681,409134,36568
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy",NA,"10%",NA,0.111114890528386,0.117785708612013,960,2681,409134,47027
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy",NA,"5%",NA,0.112825803968102,0.120154064931118,977,2681,409134,41519
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","30",0.111114890528386,0.117785708612013,960,2681,409134,47027
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","50",0.111114890528386,0.117785708612013,960,2681,409134,47027
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","30",0.112825803968102,0.120154064931118,977,2681,409134,41519
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","50",0.112825803968102,0.120154064931118,977,2681,409134,41519
"accuracy","75%",NA,NA,NA,"bounds_rt+z","200","3000",NA,NA,"3.0","none",NA,NA,NA,0.115489359135335,0.123117777406573,1000,2681,409134,36032
"accuracy","75%",NA,NA,NA,"none",NA,NA,NA,NA,NA,"accuracy","25%",NA,NA,0.125929528073523,0.143100567882285,999,2681,409134,31961
"accuracy","75%",NA,NA,NA,"none",NA,NA,NA,NA,NA,"accuracy","50%",NA,NA,0.125024698024976,0.138899449953359,996,2681,409134,32522
"accuracy","75%",NA,NA,NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","25%",NA,"30",0.125929528073523,0.143100567882285,999,2681,409134,31961
"accuracy","75%",NA,NA,NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","25%",NA,"50",0.125929528073523,0.143100567882285,999,2681,409134,31961
"accuracy","75%",NA,NA,NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,"30",0.125024698024976,0.138899449953359,996,2681,409134,32522
"accuracy","75%",NA,NA,NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,"50",0.125024698024976,0.138899449953359,996,2681,409134,32522
"accuracy","75%",NA,NA,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.12159142075393,0.134521430412259,960,2681,409134,43299
"accuracy","75%",NA,NA,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA,0.123381465861594,0.138329165334043,977,2681,409134,37659
"accuracy","75%",NA,NA,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30",0.12159142075393,0.134521430412259,960,2681,409134,43299
"accuracy","75%",NA,NA,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50",0.12159142075393,0.134521430412259,960,2681,409134,43299
