"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"performance+rtvar",NA,"10%",NA,"10%","none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,"30",0.12298075937518,0.142464922497196,996,2260,409134,89655
"performance+rtvar",NA,"10%",NA,"10%","none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,"50",0.12298075937518,0.142464922497196,996,2260,409134,89655
"performance+rtvar",NA,"10%",NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.119622973639735,0.137234870774233,960,2260,409134,98851
"performance+rtvar",NA,"10%",NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA,0.121291012513933,0.141208704932996,977,2260,409134,94050
"performance+rtvar",NA,"10%",NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30",0.119622973639735,0.137234870774233,960,2260,409134,98851
"performance+rtvar",NA,"10%",NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50",0.119622973639735,0.137234870774233,960,2260,409134,98851
"performance+rtvar",NA,"10%",NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30",0.121291012513933,0.141208704932996,977,2260,409134,94050
"performance+rtvar",NA,"10%",NA,"10%","none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50",0.121291012513933,0.141208704932996,977,2260,409134,94050
"performance+rtvar",NA,"10%",NA,"10%","none",NA,NA,NA,NA,NA,"none",NA,NA,NA,0.123864031745437,0.149888851077486,1000,2260,409134,89157
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"accuracy","25%",NA,NA,0.14008853127608,0.180355455627997,999,2394,409134,135317
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"accuracy","50%",NA,NA,0.139234690870493,0.177597838717706,996,2394,409134,135687
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","25%",NA,"30",0.14008853127608,0.180355455627997,999,2394,409134,135317
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","25%",NA,"50",0.14008853127608,0.180355455627997,999,2394,409134,135317
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","50%",NA,"30",0.139234690870493,0.177597838717706,996,2394,409134,135687
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","50%",NA,"50",0.139234690870493,0.177597838717706,996,2394,409134,135687
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy",NA,"10%",NA,0.134363273011732,0.173872245786264,960,2394,409134,143952
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy",NA,"5%",NA,0.136807362834858,0.176319516730798,977,2394,409134,139574
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"10%","30",0.134363273011732,0.173872245786264,960,2394,409134,143952
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"10%","50",0.134363273011732,0.173872245786264,960,2394,409134,143952
"performance+rtvar",NA,"10%",NA,"5%","bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"5%","30",0.136807362834858,0.176319516730798,977,2394,409134,139574
