"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy","50%",NA,NA,0.11733438186135,0.148507649934863,996,2525,409134,117531
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy+sample","25%",NA,"30",0.118349277958152,0.151113465392469,999,2525,409134,117106
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy+sample","25%",NA,"50",0.118349277958152,0.151113465392469,999,2525,409134,117106
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy+sample","50%",NA,"30",0.11733438186135,0.148507649934863,996,2525,409134,117531
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy+sample","50%",NA,"50",0.11733438186135,0.148507649934863,996,2525,409134,117531
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy",NA,"10%",NA,0.112157521263823,0.143062817648818,960,2525,409134,126684
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy",NA,"5%",NA,0.114801566059969,0.14610431911592,977,2525,409134,121899
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy+sample",NA,"10%","30",0.112157521263823,0.143062817648818,960,2525,409134,126684
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy+sample",NA,"10%","50",0.112157521263823,0.143062817648818,960,2525,409134,126684
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy+sample",NA,"5%","30",0.114801566059969,0.14610431911592,977,2525,409134,121899
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy+sample",NA,"5%","50",0.114801566059969,0.14610431911592,977,2525,409134,121899
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","none",NA,NA,NA,0.117341344405387,0.154364346052282,1000,2525,409134,117101
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy","25%",NA,NA,0.144294070259929,0.165192184209948,999,2525,409134,95113
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy","50%",NA,NA,0.143763561784719,0.163865260155279,996,2525,409134,95473
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy+sample","25%",NA,"30",0.144294070259929,0.165192184209948,999,2525,409134,95113
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy+sample","25%",NA,"50",0.144294070259929,0.165192184209948,999,2525,409134,95113
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy+sample","50%",NA,"30",0.143763561784719,0.163865260155279,996,2525,409134,95473
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy+sample","50%",NA,"50",0.143763561784719,0.163865260155279,996,2525,409134,95473
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","lower_bound_accuracy",NA,"10%",NA,0.139171117028623,0.160199926786778,960,2525,409134,104102
"performance",NA,"10%",NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","lower_bound_accuracy",NA,"5%",NA,0.141923551827117,0.162556074795711,977,2525,409134,99466
