"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+numtrials","80%",NA,"50",NA,"bounds_rt+z","200","3000",NA,NA,"3.0","accuracy+sample","50%",NA,"50",0.114567746126187,0.121192244136068,996,2632,409134,41164
"accuracy+numtrials","80%",NA,"50",NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy",NA,"10%",NA,0.111189875456711,0.118087400831751,960,2632,409134,51501
"accuracy+numtrials","80%",NA,"50",NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy",NA,"5%",NA,0.112909766866254,0.120406596459792,977,2632,409134,46062
"accuracy+numtrials","80%",NA,"50",NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","30",0.111189875456711,0.118087400831751,960,2632,409134,51501
"accuracy+numtrials","80%",NA,"50",NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"10%","50",0.111189875456711,0.118087400831751,960,2632,409134,51501
"accuracy+numtrials","80%",NA,"50",NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","30",0.112909766866254,0.120406596459792,977,2632,409134,46062
"accuracy+numtrials","80%",NA,"50",NA,"bounds_rt+z","200","3000",NA,NA,"3.0","lower_bound_accuracy+sample",NA,"5%","50",0.112909766866254,0.120406596459792,977,2632,409134,46062
"accuracy+numtrials","80%",NA,"50",NA,"bounds_rt+z","200","3000",NA,NA,"3.0","none",NA,NA,NA,0.115597118717482,0.123811184538347,1000,2632,409134,40635
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"accuracy","25%",NA,NA,0.126096910157013,0.144096586361567,999,2632,409134,36723
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"accuracy","50%",NA,NA,0.125179338317563,0.139338864919529,996,2632,409134,37278
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","25%",NA,"30",0.126096910157013,0.144096586361567,999,2632,409134,36723
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","25%",NA,"50",0.126096910157013,0.144096586361567,999,2632,409134,36723
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,"30",0.125179338317563,0.139338864919529,996,2632,409134,37278
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,"50",0.125179338317563,0.139338864919529,996,2632,409134,37278
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.121800280296336,0.134899355900956,960,2632,409134,47925
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA,0.123582310329284,0.138727752178495,977,2632,409134,42359
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30",0.121800280296336,0.134899355900956,960,2632,409134,47925
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50",0.121800280296336,0.134899355900956,960,2632,409134,47925
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30",0.123582310329284,0.138727752178495,977,2632,409134,42359
"accuracy+numtrials","80%",NA,"50",NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50",0.123582310329284,0.138727752178495,977,2632,409134,42359
