"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy+sample",NA,"10%","30",0.124422139002128,0.141627983994661,960,2664,409134,80199
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy+sample",NA,"10%","50",0.124422139002128,0.141627983994661,960,2664,409134,80199
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy+sample",NA,"5%","30",0.126931592109434,0.144414037537827,977,2664,409134,75018
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy+sample",NA,"5%","50",0.126931592109434,0.144414037537827,977,2664,409134,75018
"accuracy+numtrials","75%",NA,"100",NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","none",NA,NA,NA,0.130449139672312,0.149029466498802,1000,2664,409134,69901
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy","25%",NA,NA,0.129406857454474,0.144970594287241,999,2665,409134,32953
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy","50%",NA,NA,0.128732738901441,0.142574239948325,996,2665,409134,33504
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy+sample","25%",NA,"30",0.129406857454474,0.144970594287241,999,2665,409134,32953
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy+sample","25%",NA,"50",0.129406857454474,0.144970594287241,999,2665,409134,32953
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy+sample","50%",NA,"30",0.128732738901441,0.142574239948325,996,2665,409134,33504
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy+sample","50%",NA,"50",0.128732738901441,0.142574239948325,996,2665,409134,33504
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.124774127100454,0.138010682712818,960,2665,409134,44235
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA,0.126687967237206,0.141893382009504,977,2665,409134,38616
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30",0.124774127100454,0.138010682712818,960,2665,409134,44235
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50",0.124774127100454,0.138010682712818,960,2665,409134,44235
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30",0.126687967237206,0.141893382009504,977,2665,409134,38616
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50",0.126687967237206,0.141893382009504,977,2665,409134,38616
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","2500",NA,NA,NA,"none",NA,NA,NA,0.129469876901315,0.144911721913575,1000,2665,409134,32929
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","3000",NA,NA,NA,"accuracy","25%",NA,NA,0.126426365893841,0.14354638231566,999,2665,409134,32373
"accuracy+numtrials","75%",NA,"100",NA,"bounds_rt","100","3000",NA,NA,NA,"accuracy","50%",NA,NA,0.125546221276823,0.139430890190557,996,2665,409134,32933
