"","P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"30","accuracy","75%",NA,NA,NA,"bounds_rt",160,2500,NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA,0.12673510543071,0.14146741370169,977,2681,409134,31636
"31","accuracy","75%",NA,NA,NA,"bounds_rt",160,2500,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%",30,0.125566133080552,0.138681840019026,960,2681,409134,38130
"32","accuracy","75%",NA,NA,NA,"bounds_rt",160,2500,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%",50,0.125566133080552,0.138681840019026,960,2681,409134,38130
"33","accuracy","75%",NA,NA,NA,"bounds_rt",160,2500,NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%",30,0.12673510543071,0.14146741370169,977,2681,409134,31636
"34","accuracy","75%",NA,NA,NA,"bounds_rt",160,2500,NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%",50,0.12673510543071,0.14146741370169,977,2681,409134,31636
"35","accuracy","75%",NA,NA,NA,"bounds_rt",160,2500,NA,NA,NA,"none",NA,NA,NA,0.126064517189915,0.141561156821798,1000,2681,409134,23032
"36","accuracy","75%",NA,NA,NA,"bounds_rt",160,3000,NA,NA,NA,"accuracy","25%",NA,NA,0.124038369776864,0.146149171694913,999,2681,409134,21715
"37","accuracy","75%",NA,NA,NA,"bounds_rt",160,3000,NA,NA,NA,"accuracy","50%",NA,NA,0.124541278850658,0.145966280653363,996,2681,409134,22878
"38","accuracy","75%",NA,NA,NA,"bounds_rt",160,3000,NA,NA,NA,"accuracy+sample","25%",NA,30,0.124038369776864,0.146149171694913,999,2681,409134,21715
"39","accuracy","75%",NA,NA,NA,"bounds_rt",160,3000,NA,NA,NA,"accuracy+sample","25%",NA,50,0.124038369776864,0.146149171694913,999,2681,409134,21715
"40","accuracy","75%",NA,NA,NA,"bounds_rt",160,3000,NA,NA,NA,"accuracy+sample","50%",NA,30,0.124541278850658,0.145966280653363,996,2681,409134,22878
"41","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,2.5,"accuracy+sample","50%",NA,30,0.108831588481382,0.114941929991615,996,2669,409134,29709
"42","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,2.5,"accuracy+sample","50%",NA,50,0.108831588481382,0.114941929991615,996,2669,409134,29709
"43","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,2.5,"lower_bound_accuracy",NA,"10%",NA,0.107906375613385,0.113580517667137,960,2669,409134,42736
"44","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,2.5,"lower_bound_accuracy",NA,"5%",NA,0.108824874480385,0.114731691046589,977,2669,409134,36477
"45","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,2.5,"lower_bound_accuracy+sample",NA,"10%",30,0.107906375613385,0.113580517667137,960,2669,409134,42736
"46","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,2.5,"lower_bound_accuracy+sample",NA,"10%",50,0.107906375613385,0.113580517667137,960,2669,409134,42736
"47","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,2.5,"lower_bound_accuracy+sample",NA,"5%",30,0.108824874480385,0.114731691046589,977,2669,409134,36477
"48","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,2.5,"lower_bound_accuracy+sample",NA,"5%",50,0.108824874480385,0.114731691046589,977,2669,409134,36477
"49","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,2.5,"none",NA,NA,NA,0.108575488093489,0.114918110076786,1000,2669,409134,28295
"50","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"accuracy","25%",NA,NA,0.112533628237564,0.120175106783103,999,2669,409134,26826
"51","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"accuracy","50%",NA,NA,0.112817033680357,0.120093031560858,996,2669,409134,27907
"52","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"accuracy+sample","25%",NA,30,0.112533628237564,0.120175106783103,999,2669,409134,26826
"53","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"accuracy+sample","25%",NA,50,0.112533628237564,0.120175106783103,999,2669,409134,26826
"54","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"accuracy+sample","50%",NA,30,0.112817033680357,0.120093031560858,996,2669,409134,27907
"55","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"accuracy+sample","50%",NA,50,0.112817033680357,0.120093031560858,996,2669,409134,27907
"56","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"lower_bound_accuracy",NA,"10%",NA,0.111736816837944,0.118485654708823,960,2669,409134,41125
"57","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"lower_bound_accuracy",NA,"5%",NA,0.11273497929739,0.119933515857576,977,2669,409134,34788
