"P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","2.5","none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","10%","3.0","none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","2.5","none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"10%","5%","3.0","none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","2.5","none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","10%","3.0","none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","2.5","none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_percent+z",NA,NA,"5%","5%","3.0","none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","2500",NA,NA,NA,"none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_rt","100","3000",NA,NA,NA,"none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","2500",NA,NA,NA,"none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50"
"accuracy","75%",NA,NA,NA,"bounds_rt","160","3000",NA,NA,NA,"none",NA,NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"accuracy","25%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"accuracy","50%",NA,NA
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"accuracy+sample","25%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"accuracy+sample","25%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"accuracy+sample","50%",NA,"30"
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"accuracy+sample","50%",NA,"50"
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","30"
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%","50"
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","30"
"accuracy","75%",NA,NA,NA,"bounds_rt","200","2500",NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%","50"
